frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"1","Jun 12, 2017 19:57:38.658640000 MDT","08:00:27:e8:fe:87","08:00:27:01:27:d4","192.168.50.88","192.168.50.51","17"
"2","Jun 12, 2017 19:57:39.098970000 MDT","08:00:27:5b:ee:bf","ff:ff:ff:ff:ff:ff",,,
"3","Jun 12, 2017 19:57:39.364588000 MDT","08:00:27:5b:ee:bf","08:00:27:e8:fe:87","192.168.50.19","192.168.50.88","17"
"4","Jun 12, 2017 19:57:39.365021000 MDT","08:00:27:e8:fe:87","0a:00:27:00:00:00","192.168.50.88","8.8.4.4","17"
"5","Jun 12, 2017 19:57:39.577471000 MDT","08:00:27:96:32:51","ff:ff:ff:ff:ff:ff",,,
"6","Jun 12, 2017 19:57:39.661019000 MDT","08:00:27:01:27:d4","ff:ff:ff:ff:ff:ff",,,
"7","Jun 12, 2017 19:57:40.099376000 MDT","08:00:27:5b:ee:bf","ff:ff:ff:ff:ff:ff",,,
"8","Jun 12, 2017 19:57:40.233811000 MDT","08:00:27:96:32:51","ff:ff:ff:ff:ff:ff",,,
"9","Jun 12, 2017 19:57:40.283348000 MDT","08:00:27:01:27:d4","08:00:27:e8:fe:87","192.168.50.51","192.168.50.88","17"
"10","Jun 12, 2017 19:57:40.361123000 MDT","08:00:27:01:27:d4","ff:ff:ff:ff:ff:ff",,,
"11","Jun 12, 2017 19:57:40.657703000 MDT","08:00:27:01:27:d4","08:00:27:e8:fe:87","192.168.50.51","192.168.50.88","17"
"12","Jun 12, 2017 19:57:41.234255000 MDT","08:00:27:96:32:51","ff:ff:ff:ff:ff:ff",,,
"13","Jun 12, 2017 19:57:41.361244000 MDT","08:00:27:01:27:d4","ff:ff:ff:ff:ff:ff",,,
"14","Jun 12, 2017 19:57:42.365029000 MDT","08:00:27:5b:ee:bf","08:00:27:e8:fe:87","192.168.50.19","192.168.50.88","17"
"15","Jun 12, 2017 19:57:42.365257000 MDT","08:00:27:5b:ee:bf","ff:ff:ff:ff:ff:ff",,,
"16","Jun 12, 2017 19:57:43.099004000 MDT","08:00:27:5b:ee:bf","ff:ff:ff:ff:ff:ff",,,
"17","Jun 12, 2017 19:57:43.472669000 MDT","08:00:27:96:32:51","ff:ff:ff:ff:ff:ff",,,
"18","Jun 12, 2017 19:57:43.658264000 MDT","08:00:27:01:27:d4","08:00:27:e8:fe:87","192.168.50.51","192.168.50.88","17"
"19","Jun 12, 2017 19:57:43.658395000 MDT","08:00:27:01:27:d4","ff:ff:ff:ff:ff:ff",,,
"20","Jun 12, 2017 19:57:44.098920000 MDT","08:00:27:5b:ee:bf","ff:ff:ff:ff:ff:ff",,,
"21","Jun 12, 2017 19:57:44.233301000 MDT","08:00:27:96:32:51","ff:ff:ff:ff:ff:ff",,,
"22","Jun 12, 2017 19:57:44.284247000 MDT","08:00:27:01:27:d4","08:00:27:e8:fe:87","192.168.50.51","192.168.50.88","17"
"23","Jun 12, 2017 19:57:44.361450000 MDT","08:00:27:01:27:d4","ff:ff:ff:ff:ff:ff",,,
"24","Jun 12, 2017 19:57:44.468318000 MDT","08:00:27:96:32:51","08:00:27:e8:fe:87","192.168.50.50","192.168.50.88","17"
"25","Jun 12, 2017 19:57:44.468709000 MDT","08:00:27:e8:fe:87","0a:00:27:00:00:00","192.168.50.88","8.8.4.4","17"
"26","Jun 12, 2017 19:57:44.563768000 MDT","08:00:27:e8:fe:87","0a:00:27:00:00:00","192.168.50.88","8.8.4.4","17"
"27","Jun 12, 2017 19:57:44.563957000 MDT","08:00:27:e8:fe:87","0a:00:27:00:00:00","192.168.50.88","8.8.4.4","17"
"28","Jun 12, 2017 19:57:44.564109000 MDT","08:00:27:e8:fe:87","0a:00:27:00:00:00","192.168.50.88","8.8.4.4","17"
"29","Jun 12, 2017 19:57:45.233306000 MDT","08:00:27:96:32:51","ff:ff:ff:ff:ff:ff",,,
"30","Jun 12, 2017 19:57:45.361344000 MDT","08:00:27:01:27:d4","ff:ff:ff:ff:ff:ff",,,
"31","Jun 12, 2017 19:57:46.284051000 MDT","08:00:27:e8:fe:87","0a:00:27:00:00:00","192.168.50.88","8.8.4.4","17"
"32","Jun 12, 2017 19:57:46.284307000 MDT","08:00:27:e8:fe:87","0a:00:27:00:00:00","192.168.50.88","8.8.4.4","17"
"33","Jun 12, 2017 19:57:46.364463000 MDT","08:00:27:5b:ee:bf","08:00:27:e8:fe:87","192.168.50.19","192.168.50.88","17"
"34","Jun 12, 2017 19:57:46.364634000 MDT","08:00:27:5b:ee:bf","ff:ff:ff:ff:ff:ff",,,
"35","Jun 12, 2017 19:57:47.099198000 MDT","08:00:27:5b:ee:bf","ff:ff:ff:ff:ff:ff",,,
"36","Jun 12, 2017 19:57:47.283646000 MDT","08:00:27:e8:fe:87","08:00:27:01:27:d4","192.168.50.88","192.168.50.51","17"
