frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"1","Jun 14, 2017 21:48:23.117040000 MDT","08:00:27:29:6f:96","ff:ff:ff:ff:ff:ff",,,
"2","Jun 14, 2017 21:48:24.113795000 MDT","08:00:27:29:6f:96","ff:ff:ff:ff:ff:ff",,,
"3","Jun 14, 2017 21:48:25.113744000 MDT","08:00:27:29:6f:96","ff:ff:ff:ff:ff:ff",,,
"4","Jun 14, 2017 21:48:48.764947000 MDT","08:00:27:0a:48:4c","33:33:00:01:00:02",,,
"5","Jun 14, 2017 21:48:49.102332000 MDT","08:00:27:0a:48:4c","33:33:00:00:00:16",,,
"6","Jun 14, 2017 21:48:49.119164000 MDT","08:00:27:0a:48:4c","01:00:5e:00:00:16","192.168.50.59","224.0.0.22","2"
"7","Jun 14, 2017 21:48:49.120015000 MDT","08:00:27:0a:48:4c","33:33:00:00:00:16",,,
"8","Jun 14, 2017 21:48:49.120031000 MDT","08:00:27:0a:48:4c","01:00:5e:00:00:16","192.168.50.59","224.0.0.22","2"
"9","Jun 14, 2017 21:48:49.120035000 MDT","08:00:27:0a:48:4c","33:33:00:00:00:16",,,
"10","Jun 14, 2017 21:48:49.120437000 MDT","08:00:27:0a:48:4c","01:00:5e:00:00:16","192.168.50.59","224.0.0.22","2"
"11","Jun 14, 2017 21:48:49.122241000 MDT","08:00:27:0a:48:4c","33:33:00:01:00:03",,,
"12","Jun 14, 2017 21:48:49.122490000 MDT","08:00:27:0a:48:4c","01:00:5e:00:00:fc","192.168.50.59","224.0.0.252","17"
"13","Jun 14, 2017 21:48:49.231987000 MDT","08:00:27:0a:48:4c","33:33:00:01:00:03",,,
"14","Jun 14, 2017 21:48:49.232316000 MDT","08:00:27:0a:48:4c","01:00:5e:00:00:fc","192.168.50.59","224.0.0.252","17"
"15","Jun 14, 2017 21:48:49.247359000 MDT","08:00:27:0a:48:4c","01:00:5e:00:00:16","192.168.50.59","224.0.0.22","2"
"16","Jun 14, 2017 21:48:49.247500000 MDT","08:00:27:0a:48:4c","33:33:00:00:00:16",,,
"17","Jun 14, 2017 21:48:49.764336000 MDT","08:00:27:0a:48:4c","33:33:00:01:00:02",,,
"18","Jun 14, 2017 21:48:51.766895000 MDT","08:00:27:0a:48:4c","33:33:00:01:00:02",,,
"19","Jun 14, 2017 21:48:55.764398000 MDT","08:00:27:0a:48:4c","33:33:00:01:00:02",,,
"20","Jun 14, 2017 21:49:03.763134000 MDT","08:00:27:0a:48:4c","33:33:00:01:00:02",,,
"21","Jun 14, 2017 21:49:16.855334000 MDT","08:00:27:0a:48:4c","ff:ff:ff:ff:ff:ff","192.168.50.59","192.168.50.255","17"
"22","Jun 14, 2017 21:49:16.855350000 MDT","08:00:27:0a:48:4c","ff:ff:ff:ff:ff:ff","192.168.50.59","192.168.50.255","17"
"23","Jun 14, 2017 21:49:17.593442000 MDT","08:00:27:0a:48:4c","ff:ff:ff:ff:ff:ff","192.168.50.59","192.168.50.255","17"
"24","Jun 14, 2017 21:49:17.593457000 MDT","08:00:27:0a:48:4c","ff:ff:ff:ff:ff:ff","192.168.50.59","192.168.50.255","17"
"25","Jun 14, 2017 21:49:18.342538000 MDT","08:00:27:0a:48:4c","ff:ff:ff:ff:ff:ff","192.168.50.59","192.168.50.255","17"
"26","Jun 14, 2017 21:49:18.342553000 MDT","08:00:27:0a:48:4c","ff:ff:ff:ff:ff:ff","192.168.50.59","192.168.50.255","17"
"27","Jun 14, 2017 21:49:19.092166000 MDT","08:00:27:0a:48:4c","ff:ff:ff:ff:ff:ff","192.168.50.59","192.168.50.255","17"
"28","Jun 14, 2017 21:49:19.092182000 MDT","08:00:27:0a:48:4c","ff:ff:ff:ff:ff:ff","192.168.50.59","192.168.50.255","17"
"29","Jun 14, 2017 21:49:19.763769000 MDT","08:00:27:0a:48:4c","33:33:00:01:00:02",,,
"30","Jun 14, 2017 21:49:31.117497000 MDT","08:00:27:5b:ee:bf","ff:ff:ff:ff:ff:ff",,,
"31","Jun 14, 2017 21:49:31.119849000 MDT","08:00:27:5b:ee:bf","33:33:ff:ed:8e:39",,,
"32","Jun 14, 2017 21:49:31.119863000 MDT","08:00:27:5b:ee:bf","33:33:00:00:00:02",,,
"33","Jun 14, 2017 21:49:31.119865000 MDT","08:00:27:5b:ee:bf","33:33:00:00:00:16",,,
"34","Jun 14, 2017 21:49:31.618091000 MDT","08:00:27:5b:ee:bf","33:33:00:00:00:16",,,
"35","Jun 14, 2017 21:49:32.119055000 MDT","08:00:27:5b:ee:bf","ff:ff:ff:ff:ff:ff",,,
"36","Jun 14, 2017 21:49:33.118380000 MDT","08:00:27:5b:ee:bf","ff:ff:ff:ff:ff:ff",,,
"37","Jun 14, 2017 21:49:35.117767000 MDT","08:00:27:5b:ee:bf","33:33:00:00:00:02",,,
"38","Jun 14, 2017 21:49:39.117708000 MDT","08:00:27:5b:ee:bf","33:33:00:00:00:02",,,
"39","Jun 14, 2017 21:49:47.923663000 MDT","08:00:27:0a:48:4c","ff:ff:ff:ff:ff:ff",,,
"40","Jun 14, 2017 21:49:51.764165000 MDT","08:00:27:0a:48:4c","33:33:00:01:00:02",,,
"41","Jun 14, 2017 21:50:01.219809000 MDT","08:00:27:d2:67:04","ff:ff:ff:ff:ff:ff",,,
"42","Jun 14, 2017 21:50:01.222681000 MDT","08:00:27:d2:67:04","33:33:ff:93:37:a2",,,
"43","Jun 14, 2017 21:50:01.222837000 MDT","08:00:27:d2:67:04","33:33:00:00:00:02",,,
"44","Jun 14, 2017 21:50:01.222841000 MDT","08:00:27:d2:67:04","33:33:00:00:00:16",,,
"45","Jun 14, 2017 21:50:01.718875000 MDT","08:00:27:d2:67:04","33:33:00:00:00:16",,,
"46","Jun 14, 2017 21:50:02.218708000 MDT","08:00:27:d2:67:04","ff:ff:ff:ff:ff:ff",,,
"47","Jun 14, 2017 21:50:03.218664000 MDT","08:00:27:d2:67:04","ff:ff:ff:ff:ff:ff",,,
"48","Jun 14, 2017 21:50:05.218199000 MDT","08:00:27:d2:67:04","33:33:00:00:00:02",,,
"49","Jun 14, 2017 21:50:09.218373000 MDT","08:00:27:d2:67:04","33:33:00:00:00:02",,,
"50","Jun 14, 2017 21:50:23.436960000 MDT","08:00:27:29:6f:96","ff:ff:ff:ff:ff:ff",,,
"51","Jun 14, 2017 21:50:24.433922000 MDT","08:00:27:29:6f:96","ff:ff:ff:ff:ff:ff",,,
"52","Jun 14, 2017 21:50:25.433960000 MDT","08:00:27:29:6f:96","ff:ff:ff:ff:ff:ff",,,
"53","Jun 14, 2017 21:50:42.722950000 MDT","08:00:27:01:27:d4","ff:ff:ff:ff:ff:ff",,,
"54","Jun 14, 2017 21:50:42.724868000 MDT","08:00:27:01:27:d4","33:33:ff:4d:d4:0d",,,
"55","Jun 14, 2017 21:50:42.725167000 MDT","08:00:27:01:27:d4","33:33:00:00:00:02",,,
"56","Jun 14, 2017 21:50:42.725172000 MDT","08:00:27:01:27:d4","33:33:00:00:00:16",,,
"57","Jun 14, 2017 21:50:43.224755000 MDT","08:00:27:01:27:d4","33:33:00:00:00:16",,,
"58","Jun 14, 2017 21:50:43.722802000 MDT","08:00:27:01:27:d4","ff:ff:ff:ff:ff:ff",,,
"59","Jun 14, 2017 21:50:44.722957000 MDT","08:00:27:01:27:d4","ff:ff:ff:ff:ff:ff",,,
"60","Jun 14, 2017 21:50:46.723389000 MDT","08:00:27:01:27:d4","33:33:00:00:00:02",,,
"61","Jun 14, 2017 21:50:50.723857000 MDT","08:00:27:01:27:d4","33:33:00:00:00:02",,,
"62","Jun 14, 2017 21:50:54.951646000 MDT","08:00:27:f9:40:2f","ff:ff:ff:ff:ff:ff",,,
"63","Jun 14, 2017 21:50:54.952839000 MDT","08:00:27:f9:40:2f","33:33:ff:b2:df:73",,,
"64","Jun 14, 2017 21:50:54.952839000 MDT","08:00:27:f9:40:2f","33:33:00:00:00:02",,,
"65","Jun 14, 2017 21:50:54.952839000 MDT","08:00:27:f9:40:2f","33:33:00:00:00:16",,,
"66","Jun 14, 2017 21:50:55.452302000 MDT","08:00:27:f9:40:2f","33:33:00:00:00:16",,,
