frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"1","May 16, 2008 10:05:38.216729000 MDT","00:1b:63:98:bf:36","ff:ff:ff:ff:ff:ff",,,
"2","May 16, 2008 10:05:38.217191000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36",,,
"3","May 16, 2008 10:05:38.217203000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"4","May 16, 2008 10:05:38.217778000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"5","May 16, 2008 10:05:38.217806000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"6","May 16, 2008 10:05:38.217998000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"7","May 16, 2008 10:05:38.218027000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"8","May 16, 2008 10:05:38.221089000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"9","May 16, 2008 10:05:38.222651000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"10","May 16, 2008 10:05:38.222663000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"11","May 16, 2008 10:05:38.223640000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"12","May 16, 2008 10:05:38.223670000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"13","May 16, 2008 10:05:38.231068000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"14","May 16, 2008 10:05:38.231095000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"15","May 16, 2008 10:05:38.234929000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"16","May 16, 2008 10:05:38.234941000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"17","May 16, 2008 10:05:38.235213000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"18","May 16, 2008 10:05:38.235230000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"19","May 16, 2008 10:05:38.235654000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"20","May 16, 2008 10:05:38.235939000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"21","May 16, 2008 10:05:38.235965000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"22","May 16, 2008 10:05:38.236026000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"23","May 16, 2008 10:05:38.236060000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"24","May 16, 2008 10:05:38.237601000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"25","May 16, 2008 10:05:38.237615000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"26","May 16, 2008 10:05:38.239506000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"27","May 16, 2008 10:05:38.241121000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"28","May 16, 2008 10:05:38.241131000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"29","May 16, 2008 10:05:38.241203000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"30","May 16, 2008 10:05:38.241218000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"31","May 16, 2008 10:05:38.246920000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"32","May 16, 2008 10:05:38.246944000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"33","May 16, 2008 10:05:38.246956000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"34","May 16, 2008 10:05:38.250573000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"35","May 16, 2008 10:05:38.250581000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"36","May 16, 2008 10:05:38.250586000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"37","May 16, 2008 10:05:38.257826000 MDT","00:12:79:80:69:60","00:1b:63:98:bf:36","10.10.10.251","10.10.10.49","6"
"38","May 16, 2008 10:05:38.257838000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
"39","May 16, 2008 10:05:38.257845000 MDT","00:1b:63:98:bf:36","00:12:79:80:69:60","10.10.10.49","10.10.10.251","6"
